 i |     r |     q |    dt |  t_pr |   n |   m |   N |  t_no |   t_obs |    t_ko | 
 0 | 0.000 | 0.394 | 0.000 | 0.000 |   0 |   0 |   1 | 0.000 | 0.15530 | 0.15530 | 
 1 | 0.166 | 0.279 | 0.022 | 0.022 |   1 |   0 |   2 | 0.022 | 0.21252 | 0.23442 | 
 2 | 0.732 | 0.745 | 0.004 | 0.026 |   2 |   0 |   3 | 0.026 | 0.04912 | 0.07482 | 
 3 | 0.624 | 0.131 | 0.006 | 0.031 |   3 |   0 |   4 | 0.031 | 0.33820 | 0.36964 | 
 4 | 0.957 | 0.916 | 0.001 | 0.032 |   4 |   0 |   5 | 0.032 | 0.01463 | 0.04661 | 
 5 | 0.251 | 0.975 | 0.017 | 0.049 |   4 |   0 |   5 | 0.049 | 0.00424 | 0.05307 | 
 6 | 0.120 | 0.853 | 0.026 | 0.075 |   4 |   0 |   5 | 0.075 | 0.02642 | 0.10106 | 
 7 | 0.787 | 0.976 | 0.003 | 0.078 |   4 |   0 |   3 | 0.078 | 0.00411 | 0.08167 | 
 8 | 0.106 | 0.452 | 0.027 | 0.105 |   3 |   0 |   3 | 0.105 | 0.13230 | 0.23718 | 
 9 | 0.545 | 0.162 | 0.007 | 0.112 |   4 |   0 |   5 | 0.112 | 0.30352 | 0.41581 | 
10 | 0.975 | 0.095 | 0.000 | 0.113 |   5 |   0 |   6 | 0.113 | 0.39284 | 0.50544 | 
11 | 0.502 | 0.355 | 0.008 | 0.121 |   6 |   0 |   7 | 0.121 | 0.17257 | 0.29356 | 
12 | 0.473 | 0.162 | 0.009 | 0.130 |   7 |   0 |   8 | 0.130 | 0.30315 | 0.43326 | 
13 | 0.746 | 0.527 | 0.004 | 0.134 |   8 |   0 |   1 | 0.155 | 0.10689 | 0.26219 | 
14 | 0.145 | 0.738 | 0.024 | 0.157 |   8 |   0 |   2 | 0.234 | 0.05053 | 0.28495 | 
15 | 0.612 | 0.972 | 0.006 | 0.163 |   8 |   1 |   3 | 0.237 | 0.00478 | 0.24196 | 
16 | 0.324 | 0.983 | 0.014 | 0.177 |   8 |   2 |   3 | 0.242 | 0.00284 | 0.24480 | 
