   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
   1 | 0.000 | 0.548 | 0.000 |  0.000 |   0 |   0 |   1 |  0.000 | 0.10039 |  0.10039 | 
   2 | 0.938 | 0.214 | 0.001 |  0.001 |   1 |   0 |   2 |  0.001 | 0.25680 |  0.25758 | 
   3 | 0.989 | 0.160 | 0.000 |  0.001 |   2 |   0 |   3 |  0.001 | 0.30517 |  0.30608 | 
   4 | 0.764 | 0.441 | 0.003 |  0.004 |   3 |   0 |   4 |  0.004 | 0.13649 |  0.14069 | 
   5 | 0.078 | 0.013 | 0.031 |  0.035 |   4 |   0 |   5 |  0.035 | 0.72655 |  0.76192 | 
   6 | 0.321 | 0.759 | 0.014 |  0.049 |   5 |   0 |   6 |  0.049 | 0.04586 |  0.09509 | 
   7 | 0.753 | 0.994 | 0.003 |  0.053 |   6 |   0 |   7 |  0.053 | 0.00098 |  0.05368 | 
   8 | 0.838 | 0.105 | 0.002 |  0.055 |   6 |   0 |   7 |  0.055 | 0.37580 |  0.43065 | 
   9 | 0.931 | 0.822 | 0.001 |  0.056 |   7 |   0 |   8 |  0.056 | 0.03264 |  0.08836 | 
  10 | 0.971 | 0.798 | 0.000 |  0.056 |   8 |   0 |   8 |  0.088 | 0.03759 |  0.12595 | 
  11 | 0.777 | 0.954 | 0.003 |  0.059 |   8 |   1 |   6 |  0.095 | 0.00782 |  0.10291 | 
  12 | 0.414 | 0.413 | 0.011 |  0.070 |   8 |   2 |   1 |  0.100 | 0.14738 |  0.24777 | 
  13 | 0.724 | 0.401 | 0.004 |  0.074 |   8 |   3 |   6 |  0.103 | 0.15248 |  0.25539 | 
  14 | 0.413 | 0.053 | 0.011 |  0.085 |   8 |   4 |   8 |  0.126 | 0.48897 |  0.61492 | 
  15 | 0.426 | 0.639 | 0.010 |  0.095 |   8 |   4 |   4 |  0.141 | 0.07459 |  0.21528 | 
  16 | 0.723 | 0.854 | 0.004 |  0.099 |   8 |   4 |   4 |  0.215 | 0.02636 |  0.24165 | 
  17 | 0.698 | 0.793 | 0.004 |  0.103 |   8 |   3 |   4 |  0.242 | 0.03871 |  0.28036 | 
  18 | 0.574 | 0.813 | 0.007 |  0.110 |   8 |   4 |   1 |  0.248 | 0.03448 |  0.28225 | 
  19 | 0.011 | 0.948 | 0.055 |  0.165 |   8 |   3 |   6 |  0.255 | 0.00892 |  0.26432 | 
  20 | 0.717 | 0.252 | 0.004 |  0.169 |   8 |   4 |   2 |  0.258 | 0.22957 |  0.48715 | 
  21 | 0.388 | 0.946 | 0.012 |  0.180 |   8 |   5 |  __ |     __ |      __ |       __ | 
  22 | 0.209 | 0.452 | 0.019 |  0.199 |   8 |   5 |  __ |     __ |      __ |       __ | 
  23 | 0.361 | 0.692 | 0.012 |  0.212 |   8 |   5 |  __ |     __ |      __ |       __ | 
  24 | 0.614 | 0.567 | 0.006 |  0.218 |   8 |   4 |   6 |  0.264 | 0.09444 |  0.35876 | 
  25 | 0.239 | 0.003 | 0.017 |  0.235 |   8 |   5 |  __ |     __ |      __ |       __ | 
  26 | 0.693 | 0.721 | 0.004 |  0.240 |   8 |   5 |  __ |     __ |      __ |       __ | 
